IC1	1 19 20 81 94 315 460 623 717 734 986 1090 1106
IC2	2 45 187 195 414 492 570 571 577 600 604 664 745 823 1537 1550 1555 1579
IC3	3 124 229 500 1822
IC4	15 238
IC5	79 156 175 422 730 1163 1196
IC6	78
IC7	25 113 619 945 1487
IC8	10 23 82 575 613 1512
IC9	6 85 464
IC10	33
IC11	164
IC12	158
